name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
P^2 e0,33,12,18,0,0,,,,P^2 h0 e0,,P^2 h1 e0,,P h0 d0^2,,,P^2 e_0,,,P^2 h1^2 d0,gen
P^2 h0 e0,33,13,18,0,0,,,,P^2 h0^2 e0,,,,P h0^2 d0^2,,,,,,,XX
P^2 h0^2 e0,33,14,18,0,0,,,t,P^2 h1^3 d0,,,,,,,,,,,XX
P^2 h1^3 d0,33,15,19,0,0,,,,,,loc,,,,,,,,,XX
P^3 h1 c0,33,16,18,0,0,,,,,,loc,,,,,,,,,XX
P^4 h1,33,17,17,0,0,,,,,,P^4 h1^2,,,,,auto,,,,gen
h2 h5,34,2,18,0,0,,,,h0 h2 h5,,,,h2^2 h5,,,,,,,XX
h0 h2 h5,34,3,18,0,0,,,t,h1^3 h5,,,,,,,,,,,XX
h1^3 h5,34,4,19,0,0,,,,,,h1^4 h5,,,,,,,,,XX
h2 n,34,6,19,0,-1,,,,,,,,h1 T,,,,,,,XX
h1^2 d1,34,6,20,1,1,,,,,,,,,,h1^3 e1,,,,,XX
e0^2,34,8,20,0,0,,,,h0 e0^2,,h1 e0^2,,h0 e0 g,,,e_0^2,,,,XX
h0 e0^2,34,9,20,0,0,,,,h0^2 e0^2,,,,h0^2 e0 g,,,,,,,XX
h0^2 e0^2,34,10,20,0,0,,,,,,,,,,,,,,,XX
P j,34,11,18,0,0,,,,P h0 j,,,,h0 d0 i,,,P j,,,P^2 h0 e0,gen
P h0 j,34,12,18,0,0,,,t,P^2 h1 e0,,,t,P h1 d0^2,,,,,,P^2 h0^2 e0,XX
P^2 h1 e0,34,13,19,0,0,,,,,,loc,,,,,,,,P^2 h1^3 d0,XX
P^4 h1^2,34,18,18,0,0,,,,,,P^4 h1^3,,,,,,,,,XX
h2 d1,35,5,20,0,-1,,,,,,,,h2^2 d1,,,,,,,XX
h1^4 h5,35,5,20,1,1,,,,,,h1^5 h5,,,,,,,,,XX
m,35,7,20,0,0,,,,h0 m,,,,h2 m,,,m,,,h0 e0^2,gen
h0 m,35,8,20,0,0,,,t,h1 e0^2,,,t,h1 e0 g,,,,,,h0^2 e0^2,XX
h1 e0^2,35,9,21,0,0,,,,,,loc,,,,,,,,,XX
P^4 h2,35,17,18,0,0,,,,P^4 h0 h2,,,,P^3 h0^2 d0,,,auto,,,,gen
P^4 h0 h2,35,18,18,0,0,,,t,P^4 h1^3,,,,,,,,,,,XX
P^4 h1^3,35,19,19,0,0,,,,,,loc,,,,,,,,,XX
T,36,6,20,0,-1,,,,,,h1 T,t,c1 g,,,t,180,,,gen
h1^5 h5,36,6,21,1,1,,,,,,h1^6 h5,,,,,,,,,XX
c0 d0^2,36,11,21,1,0,,,,,,loc,,,,,c_0 d_0^2,,,,XX
